,query_track_id,target_track_id,score,query_text,target_text
0,disco.00093,TROMWHR12903CC304A,0.9105883836746216,The Hustle by Van McCoy & The Soul City Symphony from Disco Nights,The Hustle by Van McCoy & The Soul City Symphony from Total 70s
1,rock.00040,TRWBROP128F4292167,0.8114075064659119,The Crunge by Led Zeppelin from Houses of the Holy (Remastered),Houses Of The Holy (2007 Remastered Album Version) by Led Zeppelin from The Complete Led Zeppelin
2,rock.00035,TREEEUF128E078201A,0.8179436922073364,Midnight Rambler (Live) by The Rolling Stones from From the Vault: No Security - San Jose 1999 (Live),The Last Time (Live) by The Rolling Stones from No Security
3,country.00063,TRPYYWT128F933318E,1.0,I Can't Tell You Why by Vince Gill from Souvenirs,I Can't Tell You Why by Vince Gill from Souvenirs
4,blues.00019,TRPGTDQ128F92FB4BA,0.8984105587005615,If I Had Possession Over Judgement Day by Robert Johnson from King of the Delta Blues Singers,If I Had Possession Over Judgement Day by Robert Johnson from Robert Johnson - Father Of The Blues
5,classical.00036,TRCNUIV128F4283D3B,0.8461782932281494,"Quartet In F Major for Strings/III. Très Lent by Juilliard String Quartet, Robert Mann, Joel Smirnoff, Samuel Rhodes & Joel Krosnick from Debussy, Ravel & Dutilleux: String Quartets",String Quartet in F: III.  Très lent by Belcea Quartet from Debussy/Dutilleux/Ravel: String Quartets
6,disco.00066,TRAQXSN128EF34DC01,1.0,Shake Your Groove Thing by Peaches & Herb from 2 Hot!,Shake Your Groove Thing by Peaches & Herb from 2 Hot!
7,classical.00041,TRYGUFI128F4283D38,0.8568869233131409,"Ainsi la Nuit for String Quartet/VII. Temps Suspendu by Juilliard String Quartet, Robert Mann, Joel Smirnoff, Samuel Rhodes & Joel Krosnick from Debussy, Ravel & Dutilleux: String Quartets",Ainsi la Nuit: VII  Temps suspendu by Belcea Quartet from Debussy/Dutilleux/Ravel: String Quartets
8,reggae.00088,TRCPTXX128EF3515A5,0.8535169363021851,Electric Boogie by Marcia Griffiths from Reggae Anthology: Melody Life,Electric Boogie by Marcia Griffiths from Melody Life
9,classical.00021,TRMZUDV128F426195A,0.8798391819000244,"Symphony No. 39 in E-Flat Major, K. 543: IV. Finale (Allegro) by Academy of St Martin in the Fields & Sir Neville Marriner from Mozart for a Monday Morning",Symphony No. 33 in B flat K319: IV.    Finale (Allegro assai) by Sir Neville Marriner/Academy of St Martin-in-the-Fields from Mozart: Symphonies Nos. 31_ 33 & 34
10,hiphop.00043,TRSJJAZ128F92EAA2A,0.8783974647521973,Anything Can Happen by Wyclef Jean from Wyclef Jean presents The Carnival featuring Refugee Allstars,Enter The Carnival by Wyclef Jean featuring Refugee Allstars from Wyclef Jean presents The Carnival featuring Refugee Allstars
11,pop.00095,TRJZRBI12903CD50A9,0.8236256837844849,Love You for Always by Mandy Moore from So Real,Love to Love Me Back by Mandy Moore from Amanda Leigh
12,pop.00076,TRZRKHF128F427F99C,0.8740988373756409,Dance With Me by Jennifer Lopez from J. Lo,Dance With Me by Jennifer Lopez from On The 6 / J. Lo (Coffret 2 CD)
13,country.00057,TRWGFBB128F1496FC5,0.8104881644248962,The Heart Won't Lie (feat. Vince Gill) by Reba McEntire from It's Your Call,The Heart Won't Lie by Reba McEntire / Vince Gill from At Her Very Best
14,country.00051,TRBVBAQ128F92DD47A,0.8818570971488953,Never Knew Lonely by Vince Gill from When I Call Your Name,Never Knew Lonely by Vince Gill from I Still Believe In You
15,disco.00064,TRFDPCR128F422B88F,0.8366856575012207,"Funkytown by Lipps, Inc. from Mouth To Mouth",Funkytown by Lipps Inc. from Dance #1's
16,country.00062,TRTDANY128F92DD471,0.8556292057037354,One More Last Chance by Vince Gill from I Still Believe in You,I Still Believe In You by Vince Gill from I Still Believe In You
17,classical.00022,TRAIDRB128F14889C9,0.906019389629364,"Symphony No. 40 in G Minor, K. 550: I. Molto Allegro by Sir Neville Marriner & Academy of St Martin in the Fields from Mozart Sinfonie Vol. 1",Symphony No. 40 in G minor K550: I.       Molto allegro by Academy of St Martin-in-the-Fields/Sir Neville Marriner from Greatest Moments Ever: Mozart (Digital Version)
18,classical.00013,TRUDWII128F4256BC5,0.8078017830848694,"Symphony No. 36 in C Major, K425 'Linz': III. Menuetto by Gunther Hasselmann from ",Symphony No. 36 in C_ 'Linz' K425: Menuetto by Academy of St Martin-in-the-Fields/Sir Neville Marriner from Mozart: Symphony Nos 36 (Linz) & 40
19,hiphop.00045,TRIDDQX128F9350562,0.9496958255767822,"Every Ghetto, Every City by Lauryn Hill from The Miseducation of Lauryn Hill",Every Ghetto_ Every City by Lauryn Hill from The Miseducation Of
20,pop.00075,TRWWMLS128F4267136,0.8420096635818481,If You Had My Love by Jennifer Lopez from On The 6,Open Off My Love by Jennifer Lopez from On The 6
21,jazz.00096,TRABEJA128F4288CE2,0.9808477163314819,"Pfrancing (No Blues) by Joe Henderson from So Near, So Far (Musings for Miles)",Pfrancing (No Blues) by Joe Henderson from So Near_ So Far (Musings For Miles)
22,rock.00028,TRBPVNI128F42BA5A8,0.8885418772697449,Jumpin' Jack Flash by The Rolling Stones from Jumpin' Jack Flash / Child Of The Moon - EP,Jumpin' Jack Flash by The Rolling Stones from Flashpoint
